11;19;;29;;2012-02-03;2012-02-03;0
37;1;;25;;2012-02-03;2012-02-03;0
38;2;;26;;2012-02-03;2012-02-03;0
39;3;;25;;2012-02-03;2012-02-03;0
40;4;;26;;2012-02-03;2012-02-03;0
41;5;;25;;2012-02-03;2012-02-03;0
42;6;;26;;2012-02-03;2012-02-03;0
43;7;;25;;2012-02-03;2012-02-03;0
44;8;;26;;2012-02-03;2012-02-03;0
45;9;;25;;2012-02-03;2012-02-03;0
46;10;;26;;2012-02-03;2012-02-03;0
47;11;;25;;2012-02-03;2012-02-03;0
48;12;;26;;2012-02-03;2012-02-03;0
49;13;;25;;2012-02-03;2012-02-03;0
50;14;;26;;2012-02-03;2012-02-03;0
51;15;;25;;2012-02-03;2012-02-03;0
52;16;;26;;2012-02-03;2012-02-03;0
53;17;;25;;2012-02-03;2012-02-03;0
57;21;;25;;2012-02-03;2012-02-03;0
58;22;;26;;2012-02-03;2012-02-03;0
59;23;;25;;2012-02-03;2012-02-03;0
60;24;;26;;2012-02-03;2012-02-03;0
61;25;;25;;2012-02-03;2012-02-03;0
62;26;;26;;2012-02-03;2012-02-03;0
63;27;;25;;2012-02-03;2012-02-03;0
64;28;;26;;2012-02-03;2012-02-03;0
65;29;;25;;2012-02-03;2012-02-03;0
66;30;;26;;2012-02-03;2012-02-03;0
67;31;;25;;2012-02-03;2012-02-03;0
68;32;;26;;2012-02-03;2012-02-03;0
69;33;;25;;2012-02-03;2012-02-03;0
70;34;;28;;2012-02-03;2012-02-03;0
71;35;;25;;2012-02-03;2012-02-03;0
72;36;;26;;2012-02-03;2012-02-03;0
74;38;;26;;2012-02-03;2012-02-03;0
75;39;;25;;2012-02-03;2012-02-03;0
76;40;;26;;2012-02-03;2012-02-03;0
77;41;;25;;2012-02-03;2012-02-03;0
78;42;;26;;2012-02-03;2012-02-03;0
79;43;;25;;2012-02-03;2012-02-03;0
80;44;;26;;2012-02-03;2012-02-03;0
81;45;;25;;2012-02-03;2012-02-03;0
82;46;;26;;2012-02-03;2012-02-03;0
83;47;;25;;2012-02-03;2012-02-03;0
84;48;;26;;2012-02-03;2012-02-03;0
85;49;;25;;2012-02-03;2012-02-03;0
86;50;;26;;2012-02-03;2012-02-03;0
87;51;;25;;2012-02-03;2012-02-03;0
88;52;;26;;2012-02-03;2012-02-03;0
89;53;;25;;2012-02-03;2012-02-03;0
90;54;;26;;2012-02-03;2012-02-03;0
91;55;;25;;2012-02-03;2012-02-03;0
92;56;;26;;2012-02-03;2012-02-03;0
93;57;;25;;2012-02-03;2012-02-03;0
94;58;;26;;2012-02-03;2012-02-03;0
95;59;;25;;2012-02-03;2012-02-03;0
96;60;;26;;2012-02-03;2012-02-03;0
